Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
MADARSZ Viktor,(b. 1830 Csetnek d. 1917 Budapest),Dobozi and his Spouse,1868,Oil on canvas 116 x 310 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/m/madarasz/5dobozi.jpg,painting,historical,Hungarian,1851-1900,Romanticism,/m/madarasz/5dobozi
SZINYEI MERSE Pl,(b. 1845 Szinyejfalu d. 1920 Jernye),Mallows,Y1868,Oil on cardboard 21 x 16 cm,Kiscell Museum Budapest,47.53904,19.0233199,Kiscelli kz Budapest 1037 Hungary,street,http://www.wga.hu/art/s/szinyei/02szinye.jpg,painting,landscape,Hungarian,1851-1900,Impressionism,/s/szinyei/02szinye
MANET Edouard,(b. 1832 Paris d. 1883 Paris),The Luncheon in the Studio,1868,Oil on canvas 120 x 154 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/m/manet/2/2manet13.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/2/2manet13
MANET Edouard,(b. 1832 Paris d. 1883 Paris),The Luncheon in the Studio (detail),1868,Oil on canvas,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/m/manet/2/2manet14.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/2/2manet14
COURBET Gustave,(b. 1819 Ornans d. 1877 La Tour-de-Peilz),Nude Woman with Dog,1868,Oil on canvas 65 x 81 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/c/courbet/3/courb308.jpg,painting,genre,French,1851-1900,Realism,/c/courbet/3/courb308
COURBET Gustave,(b. 1819 Ornans d. 1877 La Tour-de-Peilz),The Source,1868,Oil on canvas 128 x 97 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/c/courbet/3/courb306.jpg,painting,other,French,1851-1900,Realism,/c/courbet/3/courb306
MANET Edouard,(b. 1832 Paris d. 1883 Paris),mile Zola,1868,Oil on canvas 146 x 114 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/manet/2/2manet16.jpg,painting,portrait,French,1851-1900,Impressionism,/m/manet/2/2manet16
MANET Edouard,(b. 1832 Paris d. 1883 Paris),mile Zola (detail),1868,Oil on canvas,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/manet/2/2manet17.jpg,painting,portrait,French,1851-1900,Impressionism,/m/manet/2/2manet17
MANET Edouard,(b. 1832 Paris d. 1883 Paris),The Balcony,Y1868,Oil on canvas 170 x 125 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/manet/2/2manet18.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/2/2manet18
MANET Edouard,(b. 1832 Paris d. 1883 Paris),The Balcony (detail),Y1868,Oil on canvas,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/manet/2/2manet19.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/2/2manet19
MANET Edouard,(b. 1832 Paris d. 1883 Paris),The Reading,1868,Oil on canvas 61 x 74 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/manet/2/2manet15.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/2/2manet15
MILLET Jean-Franois,(b. 1814 Gruchy d. 1875 Barbizon),Spring,Y1868,Oil on canvas 86 x 111 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/millet/04spring.jpg,painting,landscape,French,1851-1900,Realism,/m/millet/04spring
MONET Claude,(b. 1840 Paris d. 1926 Giverny),Madame Louis Joachim Gaudibert,1868,Oil on canvas 217 x 139 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/monet/02/1vario01.jpg,painting,portrait,French,1851-1900,Impressionism,/m/monet/02/1vario01
COROT Jean-Baptiste Camille,(b. 1796 Paris d. 1875 Paris),The Bridge at Mantes,Y1868,Oil on canvas 38 x 55 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/c/corot/corot17.jpg,painting,landscape,French,1801-1850,Realism,/c/corot/corot17
COROT Jean-Baptiste Camille,(b. 1796 Paris d. 1875 Paris),The Woman with the Pearl,Y1868,Oil on canvas 70 x 55 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/c/corot/corot18.jpg,painting,portrait,French,1801-1850,Realism,/c/corot/corot18
COROT Jean-Baptiste Camille,(b. 1796 Paris d. 1875 Paris),Vallda,Y1868,Oil on wood 83 x 55 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/c/corot/corot19.jpg,painting,portrait,French,1801-1850,Realism,/c/corot/corot19
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Lunch,1868,Oil on canvas 230 x 150 cm,Stdelsches Kunstinstitut Frankfurt,50.1120796,8.6834097,Frankfurt HE Germany,city/town,http://www.wga.hu/art/m/monet/02/1vario02.jpg,painting,genre,French,1851-1900,Impressionism,/m/monet/02/1vario02
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),The Engaged Couple,1868,Oil on canvas 106 x 74 cm,Wallraf-Richartz-Museum Cologne,50.9376488,6.957952,Wallraf Richartz Museum NW Germany,Unknown,http://www.wga.hu/art/r/renoir/1/1renoi10.jpg,painting,genre,French,1851-1900,Impressionism,/r/renoir/1/1renoi10
MILLET Jean-Franois,(b. 1814 Gruchy d. 1875 Barbizon),Winter - The Faggot Gatherers,Y1868,Oil on canvas 82 x 100 cm,National Museum Cardiff,51.4812698,-3.1807201,Cardiff Cardiff United Kingdom,city/town,http://www.wga.hu/art/m/millet/06winter.jpg,painting,landscape,French,1851-1900,Realism,/m/millet/06winter
MEISSONIER Jean-Louis-Ernest,(b. 1815 Lyon d. 1891 Paris),Napoleon and his Staff,1868,Oil on panel 17 x 18 cm,Wallace Collection London,51.5170708,-0.15283,Wallace Collection United Kingdom,PointOfInterest,http://www.wga.hu/art/m/meissoni/napoleon.jpg,painting,portrait,French,1801-1850,Romanticism,/m/meissoni/napoleon
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),In the Summer,1868,Oil on canvas 85 x 59 cm,Nationalgalerie Berlin,52.5160713,13.3769798,Berlin BE Germany,city/town,http://www.wga.hu/art/r/renoir/1/1renoi101.jpg,painting,landscape,French,1851-1900,Impressionism,/r/renoir/1/1renoi101
VERESHCHAGIN Vasily Petrovich,(b. 1835 Perm d. 1909 St. Petersburg),A Prison Visit,1868,Oil on canvas,State Tretyakov Gallery Moscow,55.7569618,37.6150093,Moscow Russia,city/town,http://www.wga.hu/art/v/vereshch/vasily/prison.jpg,painting,genre,Russian,1851-1900,Realism,/v/vereshch/vasily/prison
DECAMPS Alexandre Gabriel,(b. 1803 Paris d. 1860 Fontainebleau),Before a Mosque in Cairo,1868,Oil on panel 41 x 31 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/d/decamps/mosque.jpg,painting,landscape,French,1801-1850,Romanticism,/d/decamps/mosque
FROMENTIN Eugne,(b. 1820 La Rochelle d. 1876 Saint-Maurice),Scene in the Desert,1868,Oil on canvas 103 x 166 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/f/fromenti/desert.jpg,painting,other,French,1851-1900,Realism,/f/fromenti/desert
MORISOT Berthe,(b. 1841 Bourges d. 1895 Paris),The Artist's Mother and Sister (Reading),Y1869,Oil on canvas 101 x 82 cm,National Gallery of Art Washington,38.8913078,-77.0199585,National Gallery of Art DC,PointOfInterest,http://www.wga.hu/art/m/morisot/01moriso.jpg,painting,portrait,French,1851-1900,Impressionism,/m/morisot/01moriso
PISSARRO Camille,(b. 1830 St Thomas Virgin Islands d. 1903 Paris),The Versailles Road at Louveciennes (Snow),1869,Oil on canvas 38 x 46 cm,Walters Art Museum Baltimore,39.2965775,-76.6161423,The Walters Art Museum MD,PointOfInterest,http://www.wga.hu/art/p/pissarro/camille/3/winter01.jpg,painting,landscape,French,1851-1900,Impressionism,/p/pissarro/camille/3/winter01
MANET Edouard,(b. 1832 Paris d. 1883 Paris),Departure of the Folkestone Boat,1869,Oil on canvas 59 x 71 cm,Museum of Art Philadelphia,39.9522209,-75.162178,Philadelphia PA,city/town,http://www.wga.hu/art/m/manet/2/2manet20.jpg,painting,landscape,French,1851-1900,Impressionism,/m/manet/2/2manet20
PISSARRO Camille,(b. 1830 St Thomas Virgin Islands d. 1903 Paris),Road Winter Sun and Snow,Y1869,Oil on canvas 46 x 55 cm,Museo Thyssen-Bornemisza Madrid,40.4160233,-3.695015,Museo Thyssen Bornemisza Community of Madrid Spain,LandmarkBuilding,http://www.wga.hu/art/p/pissarro/camille/3/winter02.jpg,painting,landscape,French,1851-1900,Impressionism,/p/pissarro/camille/3/winter02
PISSARRO Camille,(b. 1830 St Thomas Virgin Islands d. 1903 Paris),Road Winter Sun and Snow (detail),Y1869,Oil on canvas,Museo Thyssen-Bornemisza Madrid,40.4160233,-3.695015,Museo Thyssen Bornemisza Community of Madrid Spain,LandmarkBuilding,http://www.wga.hu/art/p/pissarro/camille/3/winter03.jpg,painting,landscape,French,1851-1900,Impressionism,/p/pissarro/camille/3/winter03
MONET Claude,(b. 1840 Paris d. 1926 Giverny),La Grenouillre,1869,Oil on canvas 75 x 100 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/m/monet/02/1vario05.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/1vario05
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Red Cape,Y1869,Oil on canvas 99 x 80 cm,Museum of Art Cleveland,41.5047302,-81.6907425,Cleveland OH,city/town,http://www.wga.hu/art/m/monet/02/3variou1.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/3variou1
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),At the Races in the Countryside,1869,Oil on canvas 37 x 56 cm,Museum of Fine Arts Boston,42.3393745,-71.0941315,Museum Of Fine Arts MA,PointOfInterest,http://www.wga.hu/art/d/degas/1/early21.jpg,painting,other,French,1851-1900,Impressionism,/d/degas/1/early21
BAZILLE Jean-Frdric,(b. 1841 Montpellier d. 1870 Beaune-la-Rolande),Bathers (Summer Scene),1869,Oil on canvas 158 x 159 cm,Fogg Art Museum Harvard University Cambridge,42.3741493,-71.1143417,Fogg Art Museum-Harvard University MA,LandmarkBuilding,http://www.wga.hu/art/b/bazille/07bather.jpg,painting,landscape,French,1851-1900,Impressionism,/b/bazille/07bather
GORDIGIANI Michele,(b. 1830 Firenze d. 1909 Firenze),Portrait of Thomas Carlyle,Y1869,Oil on canvas 52 x 42 cm,Galleria dell'Arte Moderna Palazzo Pitti Florence,43.7650909,11.249855,Palazzo Pitti Tosc. Italy,LandmarkBuilding,http://www.wga.hu/art/g/gordigia/carlyle.jpg,painting,portrait,Italian,1851-1900,Realism,/g/gordigia/carlyle
SISLEY Alfred,(b. 1839 Paris d. 1899 Moret-sur-Loing),Montmartre,1869,Oil on canvas,Muse de Grenoble Grenoble,45.194931,5.7324948,Muse de Grenoble Isre France,LandmarkBuilding,http://www.wga.hu/art/s/sisley/2other/paris4.jpg,painting,landscape,French,1851-1900,Impressionism,/s/sisley/2other/paris4
CIARDI Guglielmo,(b. 1842 Venezia d. 1917 Venezia),May Morning,1869,Oil on canvas 57 x 78 cm,Museo d'Arte Moderna Ca' Pesaro Venice,45.4403801,12.3311453,Ca' Pesaro Ven. Italy,LandmarkBuilding,http://www.wga.hu/art/c/ciardi/morning.jpg,painting,landscape,Italian,1851-1900,Realism,/c/ciardi/morning
COURBET Gustave,(b. 1819 Ornans d. 1877 La Tour-de-Peilz),Portrait of Chenavard,1869,Oil on canvas 54 x 46 cm,Muse des Beaux-Arts Lyon,45.7593918,4.82898,Lyon Rhne France,city/town,http://www.wga.hu/art/c/courbet/2/courb221.jpg,painting,portrait,French,1851-1900,Realism,/c/courbet/2/courb221
MUNKCSY Mihly,(b. 1844 Munkcs d. 1900 Endenich),Condemned Cell (The Convict),Y1869,Oil on wood 88 x 116 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/m/munkacsy/01munkac.jpg,painting,genre,Hungarian,1851-1900,Realism,/m/munkacsy/01munkac
MUNKCSY Mihly,(b. 1844 Munkcs d. 1900 Endenich),The Condemned Cell,Y1869,Oil on wood 88 x 116 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/m/munkacsy/02munkac.jpg,painting,genre,Hungarian,1851-1900,Realism,/m/munkacsy/02munkac
SZINYEI MERSE Pl,(b. 1845 Szinyejfalu d. 1920 Jernye),Clothes Drying,1869,Oil on canvas 31 x 31 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/s/szinyei/01szinye.jpg,painting,other,Hungarian,1851-1900,Impressionism,/s/szinyei/01szinye
SZINYEI MERSE Pl,(b. 1845 Szinyejfalu d. 1920 Jernye),Lovers,1869,Oil on canvas 54 x 64 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/s/szinyei/03szinye.jpg,painting,genre,Hungarian,1851-1900,Impressionism,/s/szinyei/03szinye
SZINYEI MERSE Pl,(b. 1845 Szinyejfalu d. 1920 Jernye),The Swing (Vacationers In the Garden),1869,Oil on cardboard 54 x 41 cm,Magyar Nemzeti Galria Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/s/szinyei/04szinye.jpg,painting,other,Hungarian,1851-1900,Impressionism,/s/szinyei/04szinye
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),Woman Ironing,1869,Oil on canvas 93 x 74 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/d/degas/1/early22.jpg,painting,genre,French,1851-1900,Impressionism,/d/degas/1/early22
LEIBL Wilhelm,(b. 1844 Kln d. 1900 Wrzburg),Frau Wilhelmine Gedon,1869,Oil on canvas 120 x 96 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/l/leibl/fraugedo.jpg,painting,portrait,German,1851-1900,Realism,/l/leibl/fraugedo
BOUDIN Eugne,(b. 1824 Honfleur d. 1898 Deauville),Bathers on Trouville Beach,1869,Oil on canvas 31 x 48 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/b/boudin/04beach.jpg,painting,landscape,French,1851-1900,Impressionism,/b/boudin/04beach
BOUDIN Eugne,(b. 1824 Honfleur d. 1898 Deauville),The Pier at Deauville,1869,Oil on canvas 24 x 33 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/b/boudin/05pier.jpg,painting,landscape,French,1851-1900,Impressionism,/b/boudin/05pier
CAROLUS-DURAN,(b. 1837 Lille d. 1917 Paris),The Lady with the Glove,1869,Oil on canvas 228 x 164 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/c/carolus/ladyglov.jpg,painting,portrait,French,1851-1900,Realism,/c/carolus/ladyglov
COURBET Gustave,(b. 1819 Ornans d. 1877 La Tour-de-Peilz),The Cliff at tretat after the Storm,Y1869,Oil on canvas 133 x 162 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/c/courbet/4/courb4101.jpg,painting,landscape,French,1851-1900,Realism,/c/courbet/4/courb4101
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),Mademoiselle Dihau at the Piano,Y1869,Oil on canvas 39 x 32 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/d/degas/1/early26.jpg,painting,portrait,French,1851-1900,Impressionism,/d/degas/1/early26
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),Portraits of Lorenzo Pagans and Auguste Degas,1869,Oil on canvas 54 x 39 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/d/degas/1/early24.jpg,painting,portrait,French,1851-1900,Impressionism,/d/degas/1/early24
FROMENTIN Eugne,(b. 1820 La Rochelle d. 1876 Saint-Maurice),The Land of Thirst,1869,Oil on canvas 103 x 143 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/f/fromenti/the_land.jpg,painting,historical,French,1851-1900,Realism,/f/fromenti/the_land
GUILLAUMIN Armand,(b. 1841 Paris d. 1927 Orly),A Path in the Snow,1869,Oil on canvas 66 x 55 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/g/guillau/01guilla.jpg,painting,landscape,French,1851-1900,Impressionism,/g/guillau/01guilla
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Magpie,1869,Oil on canvas 89 x 130 cm,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/monet/02/1vario07.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/1vario07
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Magpie (detail),1869,Oil on canvas,Muse d'Orsay Paris,48.8605576,2.325556,Muse d'Orsay Paris France,PointOfInterest,http://www.wga.hu/art/m/monet/02/1vario08.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/1vario08
COURBET Gustave,(b. 1819 Ornans d. 1877 La Tour-de-Peilz),The Wave,Y1869,Oil on canvas 63 x 92 cm,Stdelsches Kunstinstitut Frankfurt,50.1120796,8.6834097,Frankfurt HE Germany,city/town,http://www.wga.hu/art/c/courbet/4/courb410.jpg,painting,landscape,French,1851-1900,Realism,/c/courbet/4/courb410
WEBB James,(b. ca. 1825 Chelsea d. 1895 London),Cologne Cathedral,1869,Oil on canvas 119 x 181 cm,City Museum and Art Gallery Bristol,51.4537888,-2.59168,Bristol Bristol United Kingdom,city/town,http://www.wga.hu/art/w/webb/cologne.jpg,painting,landscape,English,1851-1900,Realism,/w/webb/cologne
MONET Claude,(b. 1840 Paris d. 1926 Giverny),La Grenouillre,1869,Oil on canvas 73 x 92 cm,National Gallery London,51.5083351,-0.128056,National Gallery United Kingdom,BusinessStructure,http://www.wga.hu/art/m/monet/02/1vario06.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/1vario06
PUVIS DE CHAVANNES Pierre-Ccile,(b. 1824 Lyon d. 1898 Paris),The Beheading of St John the Baptist,1869,Oil on canvas 240 x 316 cm,National Gallery London,51.5083351,-0.128056,National Gallery United Kingdom,BusinessStructure,http://www.wga.hu/art/p/puvis/beheadin.jpg,painting,religious,French,1851-1900,Realism,/p/puvis/beheadin
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Boats,1869,Oil on canvas 33 x 46 cm,Kunsthalle Bremen,53.0732956,8.8135977,Kunsthalle Bremen HB Germany,TouristStructure,http://www.wga.hu/art/m/monet/02/1vario09.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/1vario09
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),La Grenouillre,1869,Oil on canvas 66 x 81 cm,Nationalmuseum Stockholm,59.3284798,18.0785007,National Museum of Art Sweden,PointOfInterest,http://www.wga.hu/art/r/renoir/1/1renoi12.jpg,painting,genre,French,1851-1900,Impressionism,/r/renoir/1/1renoi12
CZANNE Paul,(b. 1839 Aix-en-Provence d. 1906 Aix-en-Provence),Girl at the Piano (The Tannhuser Overture),1869,Oil on canvas 58 x 93 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/c/cezanne/1/07early1.jpg,painting,genre,French,1851-1900,Impressionism,/c/cezanne/1/07early1
ISABEY Eugne,(b. 1803 Paris d. 1886 Montvrain),After a Storm,1869,Oil on canvas 37 x 60 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/i/isabey/eugene/storm.jpg,painting,landscape,French,1801-1850,Romanticism,/i/isabey/eugene/storm
LEIBL Wilhelm,(b. 1844 Kln d. 1900 Wrzburg),Sleeping Savoyard Boy,1869,Oil on panel 44 x 64 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/l/leibl/sleeping.jpg,painting,genre,German,1851-1900,Realism,/l/leibl/sleeping
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),La Grenouillre,1869,Oil on canvas 65 x 81 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/r/renoir/1/1renoi11.jpg,painting,genre,French,1851-1900,Impressionism,/r/renoir/1/1renoi11
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),La Promenade (The Walk),1870,Oil on canvas 81 x 65 cm,J. Paul Getty Museum Los Angeles,34.0788574,-118.4745407,The Getty Center CA,PointOfInterest,http://www.wga.hu/art/r/renoir/1/1renoi13.jpg,painting,genre,French,1851-1900,Impressionism,/r/renoir/1/1renoi13
FANTIN-LATOUR Henri,(b. 1836 Grenoble d. 1904 Orne),The Reading,1870,Oil on canvas 95 x 123 cm,Museu Calouste Gulbenkian Lisbon,38.7257004,-9.1502504,Lisbon Portugal,city/town,http://www.wga.hu/art/f/fantin/reading.jpg,painting,portrait,French,1851-1900,Realism,/f/fantin/reading
RENOIR Pierre-Auguste,(b 1841 Limoges d. 1919 Cagnes-sur-Mer),Odalisque (Woman of Algiers),1870,Oil on canvas 69 x 123 cm,National Gallery of Art Washington,38.8913078,-77.0199585,National Gallery of Art DC,PointOfInterest,http://www.wga.hu/art/r/renoir/1/1renoi14.jpg,painting,portrait,French,1851-1900,Impressionism,/r/renoir/1/1renoi14
CROPSEY Jasper Francis,(b. 1823 Rossville d. 1900 Hastings-on-Hudson),Greenwood Lake,1870,Oil on canvas 97 x 173 cm,Museo Thyssen-Bornemisza Madrid,40.4160233,-3.695015,Museo Thyssen Bornemisza Community of Madrid Spain,LandmarkBuilding,http://www.wga.hu/art/c/cropsey/greenwoo.jpg,painting,landscape,American,1851-1900,Realism,/c/cropsey/greenwoo
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),Sulking,1870,Oil on canvas 32 x 46 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/d/degas/2/1870s_01.jpg,painting,genre,French,1851-1900,Impressionism,/d/degas/2/1870s_01
DEGAS Edgar,(b. 1834 Paris d. 1917 Paris),The Dancing Class,1870,Oil on wood 20 x 27 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/d/degas/2/1870s_02.jpg,painting,other,French,1851-1900,Impressionism,/d/degas/2/1870s_02
REGNAULT Henri,(b. 1843 Paris d. 1871 Buzenval),Salome,1870,Oil on canvas 160 x 103 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/r/regnaul/salome.jpg,painting,religious,French,1851-1900,Romanticism,/r/regnaul/salome
FORTUNY Y MARSAL Mariano,(b. 1838 Reus d. 1874 Roma),At the Vicarage,1870,Oil on panel 55 x 92 cm,Museu Nacional d'Art de Catalunya Barcelona,41.3856087,2.16872,Barcelona Catalonia Spain,city/town,http://www.wga.hu/art/f/fortuny/vicarage.jpg,painting,genre,Spanish,1851-1900,Impressionism,/f/fortuny/vicarage
MANET Edouard,(b. 1832 Paris d. 1883 Paris),Repose - Portrait of Berthe Morisot,1870,Oil on canvas 148 x 113 cm,Museum of Art Rhode Island School of Design Providence,41.8261108,-71.4074936,Rhode Island School of Design RI,PointOfInterest,http://www.wga.hu/art/m/manet/3/3manet01.jpg,painting,portrait,French,1851-1900,Impressionism,/m/manet/3/3manet01
HOLL Frank,(b. 1845 London d. 1888 London),No Tidings from the Sea,1870,Oil on canvas 71 x 91 cm,Royal Collection Windsor,42.3178482,-83.0338669,Windsor ON,city/town,http://www.wga.hu/art/h/holl/notiding.jpg,painting,genre,English,1851-1900,Realism,/h/holl/notiding
MANET Edouard,(b. 1832 Paris d. 1883 Paris),Music Lesson,1870,Oil on canvas 141 x 173 cm,Museum of Fine Arts Boston,42.3393745,-71.0941315,Museum Of Fine Arts MA,PointOfInterest,http://www.wga.hu/art/m/manet/3/3manet02.jpg,painting,genre,French,1851-1900,Impressionism,/m/manet/3/3manet02
SISLEY Alfred,(b. 1839 Paris d. 1899 Moret-sur-Loing),First Snow at Louveciennes,Y1870,Oil on canvas 54 x 73 cm,Museum of Fine Arts Boston,42.3393745,-71.0941315,Museum Of Fine Arts MA,PointOfInterest,http://www.wga.hu/art/s/sisley/1winter/winter01.jpg,painting,landscape,French,1851-1900,Impressionism,/s/sisley/1winter/winter01
MONET Claude,(b. 1840 Paris d. 1926 Giverny),The Bridge at Bougival,1870,Oil on canvas 63 x 91 cm,Currier Gallery of Art Manchester New Hampshire,42.9977684,-71.4556427,Currier Museum of Art NH,PointOfInterest,http://www.wga.hu/art/m/monet/02/3variou2.jpg,painting,landscape,French,1851-1900,Impressionism,/m/monet/02/3variou2
RIBOT Thodule-Augustin,(b. 1823 Saint-Nicolas-d'Attez d. 1891 Colombes),The Good Samaritan,Y1870,Oil on canvas 98 x 131 cm,Muse des Beaux-Arts Pau,43.2964783,-0.37431,Pau Pyrnes-Atlantiques France,city/town,http://www.wga.hu/art/r/ribot/samarita.jpg,painting,religious,French,1851-1900,Realism,/r/ribot/samarita
CASSIOLI Amos,(b. 1832 Asciano d. 1891 Firenze),The Battle of Legnano,1870,Oil on canvas 370 x 640 cm,Galleria dell'Arte Moderna Palazzo Pitti Florence,43.7650909,11.249855,Palazzo Pitti Tosc. Italy,LandmarkBuilding,http://www.wga.hu/art/c/cassioli/legnano.jpg,painting,historical,Italian,1851-1900,Realism,/c/cassioli/legnano
LEGA Silvestro,(b. 1826 Modigliana d. 1895 Firenze),A Walk in the Garden,1870,Oil on canvas 35 x 23 cm,Galleria dell'Arte Moderna Palazzo Pitti Florence,43.7650909,11.249855,Palazzo Pitti Tosc. Italy,LandmarkBuilding,http://www.wga.hu/art/l/lega/a_walk.jpg,painting,genre,Italian,1851-1900,Realism,/l/lega/a_walk
