Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),The Parasol,Y1776,Oil on canvas 104 x 152 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/13goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/13goya
VINCENT Franois-Andr,(b. 1746 Paris d. 1816 Paris),Belisarius,1776,Oil on canvas 98 x 129 cm,Muse Fabre Montpellier,43.6119995,3.8800001,Musee Fabre Hrault France,Museum,http://www.wga.hu/art/v/vincent/belisari.jpg,painting,historical,French,1751-1800,Neoclassicism,/v/vincent/belisari
GHERARDINI Tommaso,(b. 1715 Firenze d. 1797 Firenze),Wall decoration,Y1776,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/g/gherardl/poggio5.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/g/gherardl/poggio5
GHERARDINI Tommaso,(b. 1715 Firenze d. 1797 Firenze),Wall decoration (detail),Y1776,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/g/gherardl/poggio4.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/g/gherardl/poggio4
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),Minerva,Y1776,Pen ink and wash 212 x 150 mm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/david_j/6/603david.jpg,graphics,mythological,French,1801-1850,Neoclassicism,/d/david_j/6/603david
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),View of the Tiber and Castel St Angelo,Y1776,Grey wash over black chalk 166 x 220 mm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/david_j/6/602david.jpg,graphics,landscape,French,1801-1850,Neoclassicism,/d/david_j/6/602david
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),A Walk in Andalusia,1777,Oil on canvas 275 x 190 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/14goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/14goya
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),Dance of the Majos at the Banks of Manzanares,1777,Oil on canvas 272 x 295 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/15goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/15goya
FABBRINI Giuseppe Antonio,(b. ca. 1740 Firenze d. ca. 1795 Firenze),Side wall picture: Apollo Pegasus and the Muses,1777,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/f/fabbrini/poggio3.jpg,painting,mythological,French,1751-1800,Neoclassicism,/f/fabbrini/poggio3
FABBRINI Giuseppe Antonio,(b. ca. 1740 Firenze d. ca. 1795 Firenze),Side wall picture: Classical Offering Rite,1777,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/f/fabbrini/poggio2.jpg,painting,mythological,French,1751-1800,Neoclassicism,/f/fabbrini/poggio2
