LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
J. Paul Getty Museum   Los Angeles,34.0788574,-118.4745407,The Getty Center   CA,Bing Maps,PointOfInterest
Janus Pannonius Museum   Pécs,46.0730896,18.2287502,Pécs   Hungary,Bing Maps,city/town
Janus Pannonius Múzeum   Pécs,46.0730896,18.2287502,Pécs   Hungary,Bing Maps,city/town
Joslyn Art Museum   Omaha,41.26074220,-95.94557950,Joslyn Art Museum   NE,Bing Maps,PointOfInterest
Keble College   Oxford,51.7562904,-1.25951,Oxford   Oxfordshire   United Kingdom,Bing Maps,city/town
Kelvingrove Art Gallery and Museum   Glasgow,55.8685799,-4.290504,Kelvingrove Art Gallery And Museum   United Kingdom,Bing Maps,Museum
Kimbell Art Museum   Fort Worth,32.7486916,-97.3651581,Kimbell Art Museum   TX,Bing Maps,PointOfInterest
Kiscell Museum   Budapest,47.53904,19.0233199,Kiscelli köz   Budapest 1037   Hungary,Bing Maps,street
Kiscelli Museum   Budapest,47.53904,19.0233199,Kiscelli köz   Budapest 1037   Hungary,Bing Maps,street
Koninklijk Museum voor Schone Kunsten   Antwerp,51.2169991,4.4000001,Antwerp   Belgium,Bing Maps,city/town
Konstmuseum   Gothenburg,57.7006683,11.9682198,Gothenburg   Sweden,Bing Maps,city/town
Kunsthalle   Bremen,53.0732956,8.8135977,Kunsthalle Bremen   HB   Germany,Bing Maps,TouristStructure
Kunsthalle   Hamburg,53.55374910,9.99182990,Hamburg   HH   Germany,Bing Maps,city/town
Kunsthalle   Hamburg,53.5537491,9.9918299,Hamburg   HH   Germany,Bing Maps,city/town
Kunsthalle   Kiel,54.3232498,10.1322403,Kiel   SH   Germany,Bing Maps,city/town
Kunsthalle   Mannheim,49.4865112,8.4667797,Mannheim   BW   Germany,Bing Maps,city/town
Kunsthaus   Zurich,47.370224,8.5480356,Kunsthaus Zürich   Switzerland,Bing Maps,LandmarkBuilding
Kunsthistorisches Museum   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Kunsthistorisches Museum   Vienna,48.20842740,16.37782100,Vienna,Bing Maps,state/province
Kunstmuseum   Basel,47.5488014,7.58781,Basel   Switzerland,Bing Maps,city/town
Kunstmuseum   Bern,46.9484291,7.4404602,Bern   Switzerland,Bing Maps,city/town
Kunstmuseum   Saint-Gall,47.4263802,9.3736897,St Gallen   Switzerland,Bing Maps,city/town
Kunstmuseum   Solothurn,47.2105408,7.5369201,Solothurn   Switzerland,Bing Maps,city/town
Kunstmuseum   St. Gallen,47.4263802,9.3736897,St Gallen   Switzerland,Bing Maps,city/town
Kunstmuseum   Winterthur,47.4985199,8.7329903,Winterthur   Switzerland,Bing Maps,city/town
Kunstsammlungen   Weimar,50.97695160,11.32787040,Weimar   TH   Germany,Bing Maps,city/town
Kunstsammlungen   Weimar,50.9769516,11.3278704,Weimar   TH   Germany,Bing Maps,city/town
Kupferstichkabinett   Dresden,51.0536308,13.7408104,Dresden   SN   Germany,Bing Maps,city/town
Lady Lever Art Gallery   Port Sunlight   Merseyside,53.3523293,-2.9951799,Port Sunlight   Merseyside   United Kingdom,Bing Maps,city/town
Library of the Hungarian Academy of Sciences   Budapest,37.7697296,-122.466095,California Academy of Sciences   CA,Bing Maps,PointOfInterest
Liechtenstein Museum   Vienna,47.1412697,9.552783,Liechtenstein,Bing Maps,country
Lindenau-Museum   Altenburg,50.9917336,12.4446497,Lindenau Museum Altenburg   TH   Germany,Bing Maps,Unknown
Los Angeles County Museum of Art   Los Angeles,34.06330490,-118.35813140,Los Angeles County Museum of Art   CA,Bing Maps,PointOfInterest
Los Angeles County Museum of Art   Los Angeles,34.0633049,-118.3581314,Los Angeles County Museum of Art   CA,Bing Maps,PointOfInterest
Ludwigskirche   Munich,48.1488953,11.5811853,Ludwigskirche   BY   Germany,Bing Maps,HistoricalSite
MacNay Art Museum   San Antonio,29.485796,-98.4565887,McNay Art Museum   TX,Bing Maps,PointOfInterest
Magyar Nemzeti Galéria   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Main Hall   Hungarian Academy of Sciences   Budapest,37.7697296,-122.466095,California Academy of Sciences   CA,Bing Maps,PointOfInterest
Malmö Museer   Malmö,55.5966492,13.0015402,Malmö   Sweden,Bing Maps,city/town
Märkisches Museum   Berlin,52.513546,13.4147015,Märkisches Museum   BE   Germany,Bing Maps,LandmarkBuilding
Mead Art Museum   Amherst,39.9672508,-75.1704712,Fairmount   PA,Bing Maps,Neighborhood
Meadows Museum and Gallery   Southern Methodist University   Dallas,32.8418503,-96.7815323,Southern Methodist University   TX,Bing Maps,HigherEducationFacility
Meadows Museum   Dallas,32.8384018,-96.7843475,Meadows Museum   TX,Bing Maps,LandmarkBuilding
Memorial Art Gallery   University of Rochester   Rochester,43.1243858,-77.6296082,University of Rochester   NY,Bing Maps,HigherEducationFacility
Mestská Galeria   Presov,48.9928017,21.2440395,Prešov   Slovakia,Bing Maps,city/town
Metropolitan Museum of Art   New York,40.77931210,-73.96334080,The Metropolitan Museum Of Art   NY,Bing Maps,PointOfInterest
Metropolitan Museum of Art   New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art   NY,Bing Maps,PointOfInterest
Metská Galeria   Bratislava,48.16359,17.13214,Mestská   831 03 Bratislava   Slovakia,Bing Maps,street
Mikszáth Kálmán Memorial House   Horpács,47.9965706,19.1303902,Horpács   Hungary,Bing Maps,city/town
Milwakee Art Museum   Milwaukee,43.0398483,-87.8970566,Milwaukee Art Museum   WI,Bing Maps,PointOfInterest
Moderna Galerija   Ljubljana,46.050621,14.50282,Ljubljana   Slovenia,Bing Maps,city/town
Mount Holyoke College Art Museum   South Hadley,42.2147598,-72.5941467,South Hadley   MA,Bing Maps,city/town
Mount St Mary's Seminary   Cincinnati,43.09165000,-71.45191000,Mount Saint Marys Way   Hooksett   NH 03106,Bing Maps,street
Mugar Memorial Library   Boston,42.3586617,-71.0567398,Boston   MA,Bing Maps,city/town
Murauchi Art Museum   Tokyo,35.6840782,139.8088531,Tokyo   Japan,Bing Maps,city/town
Musée Antoine-Lecuyer   St Quentin,49.84962080,3.28483610,Musee Antoine Lecuyer   Aisne   France,Bing Maps,Unknown
Musée Baron Gérard   Bayeux,49.27740100,-0.70091000,Bayeux   Calvados   France,Bing Maps,city/town
Musée Bonnat   Bayonne,40.66873170,-74.11749270,Bayonne   NJ,Bing Maps,city/town
Musée Bonnat   Bayonne,40.6687317,-74.1174927,Bayonne   NJ,Bing Maps,city/town
Musée Calvet   Avignon,43.95344160,4.80600980,Avignon   Vaucluse   France,Bing Maps,city/town
Musée cantonal des Beaux-Arts   Lausanne,46.5195999,6.6322198,Lausanne   Switzerland,Bing Maps,city/town
Musée Carnavalet   Paris,48.51269910,2.21440010,Carnavalet Museum   Paris   France,Bing Maps,Museum
Musée Carnavalet   Paris,48.5126991,2.2144001,Carnavalet Museum   Paris   France,Bing Maps,Museum
Musée Condé   Chantilly,49.1936188,2.4856651,Château de Chantilly   Oise   France,Bing Maps,PointOfInterest
Musée Courbet   Ornans,47.1049728,6.1477218,Musee Courbet   Doubs   France,Bing Maps,Unknown
Musée d'Art et d'Histoire   Neuchâtel,46.9902611,6.9310098,Neuchâtel   Switzerland,Bing Maps,city/town
Musée d'Histoire et du Pays Malouin   St Malo,48.65058140,-2.02315000,St-Malo   Ille-et-Vilaine   France,Bing Maps,city/town
Musée d'Ixelles   Brussels,50.8325996,4.3667498,Ixelles   Belgium,Bing Maps,city/town
Musée d'Orsay   Paris,48.8605576,2.325556,Musée d'Orsay   Paris   France,Bing Maps,PointOfInterest
Musée d'Orsay   Paris,48.86055760,2.32555600,Musée d'Orsay   Paris   France,Bing Maps,PointOfInterest
Musée d'Unterlinden   Colmar,48.0797234,7.355556,Unterlinden Museum   Haut-Rhin   France,Bing Maps,Museum
Musée de Grenoble   Grenoble,45.194931,5.7324948,Musée de Grenoble   Isère   France,Bing Maps,LandmarkBuilding
Musée de l'Annonciade   Saint-Tropez,43.27108,6.6375642,Musee De L Annonciade   Var   France,Bing Maps,Unknown
Musée de l'Armée   Paris,48.85694500,2.31277800,Musee De L Armee   Paris   France,Bing Maps,Museum
Musée de l'Orangerie   Paris,48.8638573,2.3222721,Musee De L Orangerie   Paris   France,Bing Maps,Museum
Musée de la Chartreuse   Douai,50.3687782,3.0783601,Douai   Nord   France,Bing Maps,city/town
Musée de la Ville   Cambrai,50.1749916,3.2341101,Cambrai   Nord   France,Bing Maps,city/town
Musée de Petit Palais   Paris,48.8660622,2.314965,Petit Palais   Paris   France,Bing Maps,LandmarkBuilding
Musée de Picardie   Amiens,49.89062500,2.29527500,Musée de Picardie   Somme   France,Bing Maps,LandmarkBuilding
Musée de Picardie   Amiens,49.890625,2.295275,Musée de Picardie   Somme   France,Bing Maps,LandmarkBuilding
Musée de Pontarlier   Pontarlier,46.9042587,6.35218,Pontarlier   Doubs   France,Bing Maps,city/town
Musée des Arts Décoratifs   Paris,48.8569298,2.3412001,Paris   Paris   France,Bing Maps,city/town
Musée des Augustins   Toulouse,43.60083010,1.44611000,Musee Des Augustins   Haute-Garonne   France,Bing Maps,Museum
Musée des Augustins   Toulouse,43.6008301,1.44611,Musee Des Augustins   Haute-Garonne   France,Bing Maps,Museum
Musée des Beaux-Arrts   Pau,43.2964783,-0.37431,Pau   Pyrénées-Atlantiques   France,Bing Maps,city/town
Musée des Beaux-Arts de la Chartreuse   Douai,50.3687782,3.0783601,Douai   Nord   France,Bing Maps,city/town
Musée des Beaux-Arts et d'Archéologie   Besançon,47.2427597,6.0254002,Besançon   Doubs   France,Bing Maps,city/town
Musée des Beaux-Arts et de la Dentelle d'Alençon   Alençon,48.4306107,0.08318,Alençon   Orne   France,Bing Maps,city/town
Musée des Beaux-Arts   Angers,47.47069170,-0.55325000,Angers   Maine-et-Loire   France,Bing Maps,city/town
Musée des Beaux-Arts   Avignon,43.9534416,4.8060098,Avignon   Vaucluse   France,Bing Maps,city/town
Musée des Beaux-Arts   Bordeaux,44.83663940,-0.58105000,Bordeaux   Gironde   France,Bing Maps,city/town
Musée des Beaux-Arts   Bordeaux,44.8366394,-0.58105,Bordeaux   Gironde   France,Bing Maps,city/town
Musée des Beaux-Arts   Brest,38.73413850,41.49063870,Muş   Turkey,Bing Maps,city/town
Musée des Beaux-Arts   Caen,49.1843681,-0.36109,Caen   Calvados   France,Bing Maps,city/town
Musée des Beaux-Arts   Chartres,48.4446106,1.4834,Chartres   Eure-et-Loir   France,Bing Maps,city/town
Musée des Beaux-Arts   Dijon,47.3269806,5.0429902,Dijon   Côte d'Or   France,Bing Maps,city/town
Musée des Beaux-Arts   Grenoble,45.1940002,5.7320099,Grenoble   Isère   France,Bing Maps,city/town
Musée des Beaux-Arts   Liège,50.64550020,5.57250020,Liège   Belgium,Bing Maps,city/town
Musée des Beaux-Arts   Lille,50.63714980,3.06283000,Lille   Nord   France,Bing Maps,city/town
Musée des Beaux-Arts   Lille,50.6371498,3.06283,Lille   Nord   France,Bing Maps,city/town
Musée des Beaux-Arts   Lons-le-Saunier,46.6740303,5.5517902,Lons-le-Saunier   Jura   France,Bing Maps,city/town
Musée des Beaux-Arts   Lyon,45.7593918,4.82898,Lyon   Rhône   France,Bing Maps,city/town
Musée des Beaux-Arts   Marseille,43.29336930,5.37130020,Marseille   Bouches-du-Rhône   France,Bing Maps,city/town
Musée des Beaux-Arts   Nantes,47.2181091,-1.5530601,Nantes   Loire-Atlantique   France,Bing Maps,city/town
Musée des Beaux-Arts   Orléans,50.3577156,3.530961,Musée des Beaux-Arts   Nord   France,Bing Maps,HistoricalSite
Musée des Beaux-Arts   Pau,43.2964783,-0.37431,Pau   Pyrénées-Atlantiques   France,Bing Maps,city/town
Musée des Beaux-Arts   Reims,49.2601891,4.0295601,Reims   Marne   France,Bing Maps,city/town
Musée des Beaux-Arts   Rennes,48.1076508,-1.68448,Rennes   Ille-et-Vilaine   France,Bing Maps,city/town
Musée des Beaux-Arts   Rouen,49.44013980,1.08940990,Rouen   Seine-Maritime   France,Bing Maps,city/town
Musée des Beaux-Arts   Rouen,49.4401398,1.0894099,Rouen   Seine-Maritime   France,Bing Maps,city/town
Musée des Beaux-Arts   Tournai,50.6079102,3.390126,Beaux Arts   Belgium,Bing Maps,TouristStructure
Musée du Louvre   Paris,48.86108780,2.33575010,Louvre   Paris   France,Bing Maps,TouristStructure
Musée du Louvre   Paris,48.8610878,2.3357501,Louvre   Paris   France,Bing Maps,TouristStructure
Musée du Petit Palais   Geneva,46.1961,6.14646,Rue du Petit-Salève   1205 Geneva Geneva   Switzerland,Bing Maps,street
Musée du Petit Palais   Paris,43.95102310,4.80653480,Musee Du Petit Palais   Vaucluse   France,Bing Maps,Unknown
