AUTHOR,Genre
MÉSZÖLY  Géza,Realism
METCALF  Willard Leroy,Impressionism
MICHALLON  Achille-Etna,Neoclassicism
MILIÈEVIÆ  Kosta,Impressionism
MILLAIS  Sir John Everett,Realism
MILLET  Jean-François,Realism
MINARDI  Tommaso,Romanticism
MIR TRINXET  Joaquím,Impressionism
MONET  Claude,Impressionism
MONTICELLI  Adolphe,Romanticism
MORBELLI  Angelo,Realism
MOREAU  Gustave,Realism
MORELLI  Domenico,Romanticism
MORISOT  Berthe,Impressionism
MORLAITER  Michelangelo,Neoclassicism
MORO  Giuseppe del,Neoclassicism
MORRICE  James Wilson,Impressionism
MULREADY  William,Romanticism
MUNKÁCSY  Mihály,Realism
NAGY BALOGH  János,Realism
NASMYTH  Alexander,Romanticism
NASMYTH  Patrick,Romanticism
NAVEZ  François-Joseph,Neoclassicism
NEUGEBAUER  Josef,Romanticism
NIGG  Joseph,Romanticism
NITTIS  Giuseppe de,Impressionism
NOMELLINI  Plinio,Impressionism
NONO  Luigi,Realism
NORDENBERG  Bengt,Realism
NORDSTRÖM  Karl Fredrik,Impressionism
NUYEN  Wijnandus Johannes Josephus,Romanticism
ODEVAERE  Joseph-Denis,Neoclassicism
OEHME  Ernst Ferdinand,Romanticism
ŒLEWIÑSKI  W³adis³aw,Impressionism
OLIVIER  Ferdinand,Romanticism
OLLIVIER  Michel-Barthélémy,Neoclassicism
OPITZ  Georg Emanuel,Romanticism
ORSI  Tranquillo,Neoclassicism
OVERBECK  Friedrich,Romanticism
PAÁL  László,Realism
PAELINCK  Joseph,Neoclassicism
PALAGI  Pelagio,Neoclassicism
PALIZZI  Filippo,Realism
PALMER  Samuel,Romanticism
PANKIEWICZ  Józef,Impressionism
PARRA ABRIL  Miguel,Romanticism
PATON  Sir Joseph Noel,Realism
PAULI  Hanna,Impressionism
PAULSEN  Julius,Impressionism
PEALE  James,Romanticism
PELLIZZA DA VOLPEDO  Giuseppe,Impressionism
PERRY  Lilla Cabot,Impressionism
PETO  John Frederick,Realism
PETROVIÆ  Nadežda,Impressionism
PETTENKOFEN  August von,Realism
PEYRON  Jean-François-Pierre,Neoclassicism
PFORR  Franz,Romanticism
PHILIPSEN  Theodor Esbern,Impressionism
PHILLIPS  Thomas,Romanticism
PIENEMAN  Jan Willem,Romanticism
PIETTE  Ludovic,Impressionism
PILOTY  Karl Theodor von,Realism
PILS  Isidore-Alexandre-Augustin,Realism
PISSARRO  Camille,Impressionism
PISSARRO  Lucien,Impressionism
PODKOWIÑSKI  W³adys³aw,Impressionism
POLENOV  Vasily Dmitrievich,Realism
POTÉMONT  Adolphe Martial,Realism
PREISLER  Jan,Impressionism
PREMAZZI  Luigi,Realism
PRENDERGAST  Maurice Brazil,Impressionism
PREVIATI  Gaetano,Impressionism
PRUD'HON  Pierre-Paul,Romanticism
PUCCINELLI  Antonio,Realism
PUVIS DE CHAVANNES  Pierre-Cécile,Realism
QUAGLIO  Domenico,Romanticism
RAFFAËLLI  Jean-François,Realism
RAFFET  Auguste,Neoclassicism
RAHL  Carl,Romanticism
RAMBERG  Arthur Georg von,Realism
RAMBOUX  Johann Anton Alban,Romanticism
RASMUSSEN  Georg Anton,Realism
RAYSKI  Ferdinand von,Romanticism
REBELL  Joseph,Romanticism
REDON  Odilon,Impressionism
REDOUTÉ  Pierre-Joseph,Neoclassicism
REGNAULT  Henri,Romanticism
REGNAULT  Jean-Baptiste,Neoclassicism
REGOYOS Y VALDÉS  Dario de,Impressionism
REHBENITZ  Theodor Markus,Romanticism
REINAGLE  Ramsay Richard,Romanticism
REINHART  Johann Christian,Romanticism
REINHOLD  Heinrich,Romanticism
RENOIR  Pierre-Auguste,Impressionism
REPIN  Ilya Yefimovich,Realism
RIBOT  Théodule-Augustin,Realism
RICHARD  Fleury-François,Romanticism
RICHTER  Adrian Ludwig,Romanticism
RIEDEL  August,Romanticism
RIESENER  Henri-François,Neoclassicism
RING  Laurits Andersen,Impressionism
RIPPL-RÓNAI  József,Impressionism
ROBERT  Léopold,Neoclassicism
ROBERTS  David,Romanticism
ROBIE  Jean-Baptiste,Realism
ROBINSON. Theodore,Impressionism
ROELOFS  Willem,Realism
ROHLFS  Christian,Impressionism
ROLAND DE LA PORTE  Henri-Horace,Neoclassicism
ROMAKO  Anton,Realism
ROMBAUER  János,Romanticism
RØRBYE  Martinus,Romanticism
ROSSETTI  Dante Gabriel,Romanticism
ROSSI  Mariano,Neoclassicism
ROTTMANN  Carl,Romanticism
ROUART  Henri Stanislas,Impressionism
ROUSSEAU  Henri,Realism
ROUSSEAU  Théodore,Realism
ROUSSEL  Theodore,Impressionism
RUNGE  Philipp Otto,Romanticism
RUNK  Ferdinand,Romanticism
RUSIÑOL Y PRATS  Santiago,Impressionism
RUSS  Robert,Realism
RYSSELBERGHE  Théo van,Impressionism
SABATELLI  Luigi,Neoclassicism
SABLET  Jacques Henri,Neoclassicism
SAINT-EVRE  Gillot,Romanticism
SAINT-JEAN  Simon,Romanticism
SALMON  Robert,Romanticism
SALTINI  Pietro,Realism
SARAZIN DE BELMONT  Louise Joséphine,Realism
SARGENT  John Singer,Realism
SCHADOW  Wilhelm von,Romanticism
SCHARF  George,Romanticism
SCHEFFER  Ary,Romanticism
SCHICK  Christian Gottlieb,Neoclassicism
SCHNETZ  Jean-Victor,Romanticism
SCHNORR VON CAROLSFELD  Julius,Romanticism
SCHÖDLBERGER  Johann Nepomuk,Romanticism
SCHOLDERER  Otto Franz,Realism
SCHWIND  Moritz von,Romanticism
SCOTT  William Bell,Romanticism
SEGANTINI  Giovanni,Impressionism
SEGHERS  Corneille,Realism
SEROV  Valentin,Realism
SÉRUSIER  Paul,Impressionism
SEURAT  Georges,Impressionism
SHCHEDRIN  Semyon Fyodorovich,Neoclassicism
SHCHEDRIN  Sil'vestr Fedosyevich,Romanticism
SICKERT  Walter Richard,Impressionism
SIGNAC  Paul,Impressionism
SIGNORINI  Telemaco,Realism
SISLEY  Alfred,Impressionism
SKARBINA  Franz,Impressionism
SLAVÍÈEK  Antonín,Impressionism
SLAVONA  Maria,Impressionism
SLEVOGT  Max,Impressionism
SOHLBERG  Harald,Realism
SOKOLOV  Pyotr Fyodorovich,Realism
SOROLLA Y BASTIDA  Joaquín,Impressionism
SPITZWEG  Carl,Romanticism
STANFIELD  Clarkson,Romanticism
STANIS£AWSKI  Jan,Impressionism
STARR  Sidney,Impressionism
STEER  Philip Wilson,Impressionism
STEINFELD  Franz,Romanticism
STEINLE  Edward Jakob von,Romanticism
STEVENS  Alfred,Realism
STIELER  Karl Joseph,Romanticism
STROOBANT  François,Realism
STUCK  Franz von,Impressionism
SULLY  Thomas,Romanticism
SUVÉE  Joseph-Benoit,Neoclassicism
SUZOR-COTÉ  Marc Aurèle de Foy,Impressionism
SWOBODA  Rudolph Der G.,Realism
SZÉKELY  Bertalan,Realism
SZINYEI MERSE  Pál,Impressionism
TARBELL  Edmund Charles,Impressionism
TASSAERT  Octave,Romanticism
TELEPY  Károly,Romanticism
TERRENI  Giuseppe Maria,Neoclassicism
THAULOW  Fritz,Realism
THOMA  Hans,Realism
TISCHBEIN  Johann Friedrich August,Neoclassicism
TISCHBEIN  Johann Heinrich Wilhelm,Neoclassicism
TISSOT  James,Realism
TIVOLI  Serafino de,Realism
TOMA  Gioacchino,Realism
TOMMASI  Adolfo,Impressionism
TOOROP  Jan,Impressionism
TORNYAI  János,Realism
TOULOUSE-LAUTREC  Henri de,Impressionism
TRABALLESI  Giuliano,Neoclassicism
TROPININ  Vasily Andreyevich,Romanticism
TROYON  Constant,Realism
TRÜBNER  Wilhelm,Impressionism
TRUMBULL  John,Neoclassicism
TRUTAT  Félix,Romanticism
TURNER  Joseph Mallord William,Romanticism
TURPIN DE CRISSÉ  Lancelot-Théodore,Neoclassicism
TUXEN  Laurits Regner,Realism
TWACHTMAN  John Henry,Realism
UHDE  Fritz van,Impressionism
