AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),The Parsonage Garden at Nuenen in the Snow,1885,Oil on canvas on panel  43 x 78 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/g/gogh_van/02/nuenen14.jpg,painting,landscape,Dutch,1851-1900,Impressionism
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),Trees in the Garden of Saint-Paul Hospital,1889,Oil on canvas  90 x 73 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/g/gogh_van/11/1asylu07.jpg,painting,landscape,Dutch,1851-1900,Impressionism
Mary Cassatt,(b. 1844  Allegheny City  d. 1926  Le Mesnil-Théribus  Oise),Summertime,1894,Oil on canvas  73 x 100 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/c/cassatt/summerti.jpg,painting,landscape,American,1851-1900,Impressionism
Henri de Toulouse-Lautrec,(b. 1864  Albi  d. 1901  Château Malromé  Langon),In the Salon of the Rue des Moulins,1894,Oil on cardboard  61 x 40 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/t/toulouse/4/brothe07.jpg,painting,genre,French,1851-1900,Impressionism
Mary Cassatt,(b. 1844  Allegheny City  d. 1926  Le Mesnil-Théribus  Oise),Reine Lefebvre and Margot,1902,Pastel on paper on canvas  83 x 68 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/c/cassatt/rheine.jpg,painting,portrait,American,1851-1900,Impressionism
Isidore-Alexandre-Augustin Pils,(b. 1813  Paris  d. 1875  Douarnenez),Horse Caparisoned,1860,Oil on canvas  64 x 63 cm,Art Gallery of New South Wales  Sydney,-33.870369,151.2161255,Art Gallery of New South Wales  Australia,Bing Maps,PointOfInterest,http://www.wga.hu/detail/p/pils/horse.jpg,painting,genre,French,1851-1900,Realism
Julian Rossi Ashton,(b. 1851  Surrey  d. 1942  Sidney),The Gold Washer,1889,Oil on canvas  213 x 117 cm,Art Gallery of New South Wales  Sydney,-33.870369,151.2161255,Art Gallery of New South Wales  Australia,Bing Maps,PointOfInterest,http://www.wga.hu/detail/a/ashton/goldwash.jpg,painting,genre,Other,1851-1900,Impressionism
William Blair Bruce,(b. 1859  Hamilton  d. 1906  Stockholm),Landscape with Poppies,1887,Oil on canvas  27 x 34 cm,Art Gallery of Ontario  Toronto,43.6538887,-79.3927765,Art Gallery of Ontario  ON,Bing Maps,Museum,http://www.wga.hu/detail/b/bruce/poppies.jpg,painting,landscape,Other,1851-1900,Impressionism
Edgar Degas,(b. 1834  Paris  d. 1917  Paris),Woman in Bath,1892,Oil on canvas  72 x 91 cm,Art Gallery of Ontario  Toronto,43.6538887,-79.3927765,Art Gallery of Ontario  ON,Bing Maps,Museum,http://www.wga.hu/detail/d/degas/5/1890s_02.jpg,painting,genre,French,1851-1900,Impressionism
Maurice Galbraith Cullen,(b. 1866  St. John's  Newfoundland  d. 1934  Chambly),Winter at Moret,1895,Oil on canvas  60 x 92 cm,Art Gallery of Ontario  Toronto,43.6538887,-79.3927765,Art Gallery of Ontario  ON,Bing Maps,Museum,http://www.wga.hu/detail/c/cullen/winter.jpg,painting,landscape,Other,1851-1900,Impressionism
Camille Pissarro,(b. 1830  St Thomas  Virgin Islands  d. 1903  Paris),Pont Boildieu in Rouen in a Drizzle,1896,Oil on canvas  73 x 91 cm,Art Gallery of Ontario  Toronto,43.6538887,-79.3927765,Art Gallery of Ontario  ON,Bing Maps,Museum,http://www.wga.hu/detail/p/pissarro/camille/4/rouen4.jpg,painting,landscape,French,1851-1900,Impressionism
Jean-Léon Gérôme,(b. 1824  Vesoul  d. 1904  Paris),Self-Portrait,1886,Oil on canvas  41 x 31 cm,Art Gallery  Aberdeen,57.1454811,-2.10272,Aberdeen  Aberdeen City  United Kingdom,Bing Maps,city/town,http://www.wga.hu/detail/g/gerome/selfport.jpg,painting,portrait,French,1851-1900,Realism
Jacques-Louis David,(b. 1748  Paris  d. 1825  Bruxelles),Portrait of Jeanbon Saint-André,1795,Pen  black ink  wash and white highlights  diameter 182 mm,Art Institute  Chicago,41.88425060,-87.63244630,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/d/david_j/7/707david.jpg,graphics,portrait,French,1801-1850,Neoclassicism
Christoffer Wilhelm Eckersberg,(b. 1783  Blakrog  d. 1853  København),The Cloisters  San Lorenzo fuori le mura,1824,Oil on canvas  58 x 79 cm,Art Institute  Chicago,41.88425060,-87.63244630,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/e/eckersbe/slorenzo.jpg,painting,landscape,Danish,1801-1850,Neoclassicism
Hippolyte Bellangé,(b. 1800  Paris  d. 1866  Paris),Battle Scene,1825,Oil on canvas  38 x 48 cm,Art Institute  Chicago,41.88425060,-87.63244630,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/b/bellang/battlesc.jpg,painting,other,French,1801-1850,Neoclassicism
Eugène Delacroix,(b. 1798  Charenton-Saint-Maurice  d. 1863  Paris),Lion Hunt,1861,Oil on canvas  76 × 98 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/d/delacroi/5/513delac.jpg,painting,other,French,1801-1850,Romanticism
